__	1	2	3	____	_____	___	____	brand	type	8	9	10	11		
2.0L	6AT	___+__B+D	"162,700_"	172.700_	1.48_	2.48_		_____	______						
2.0L	6MT	2WD	___	"169,800_"	"169,800_"	_1.45__	_1.45__	_____	___CX-5						
2.0L	6AT	2WD	___	"179,800_"	"179,800_"	_1.54__	_1.54__	_____	___CX-5						
2.0L	6AT	2WD	___	"189,800_"	"189,800_"	_1.62__	_1.62__	_____	___CX-5						
2.0L	6AT	2WD	___	"199,800_"	"199,800_"	_1.71__	_1.71__	_____	___CX-5						
2.0L	6AT	AWD	___	"209,800_"	"209,800_"	_1.79__	_1.79__	_____	___CX-5						
2.5L	6AT	2WD	___	"219,800_"	"219,800_"	_1.88__	_1.88__	_____	___CX-5						
2.5L	6AT	AWD	___	"229,800_"	"229,800_"	_1.96__	_1.96__	_____	___CX-5						
2.5L	6AT	AWD	___	"245,800_"	"245,800_"	_2.10__	_2.10__	_____	___CX-5						
__	2.0XL	___	"156,912_"	"186,800_"	1.60_	4.59_		____	___						
__	2.0XL	Upper	___	"164,976_"	"196,400_"	1.68_	4.82_	____	___						
___	1.6XE	___(MT)	"95,200_"	"119,000_"	1.02_	3.40_		____	___						
___	1.6XE	___(CVT)	"103,200_"	"129,000_"	1.10_	3.68_		____	___						
___	1.6XL	___(MT)	"100,000_"	"125,000_"	1.07_	3.57_		____	___						
___	1.6XL	#NAME?	"110,240_"	"137,800_"	1.18_	3.93_		____	___						
___	1.8XV	___(CVT)	"127,200_"	"159,000_"	1.36_	4.54_		____	___						
___	2.0L	XE	CVT	___	2WD	"162,368_"	"188,800_"	____	__X-TRAIL	1.61_	4.26_				
___	2.0L	XL	ITS	CVT	___	2WD	"169,248_"	____	__X-TRAIL	"196,800_"	1.68_	4.44_			
___	2.0L	XL	ITS	3rows	CVT	_____	2WD	____	__X-TRAIL	"176,128_"	"204,800_"	1.75_	4.62_		
___	2.5L	XL	CVT	_____	4WD	"198,918_"	"231,300_"	____	__X-TRAIL	1.98_	5.22_				
___	2.5L	XL	3rows	CVT	_______	4WD	"205,798_"	____	__X-TRAIL	"239,300_"	2.05_	5.40_			
___	2.5L	XL	ITS	CVT	_____	4WD	"208,378_"	____	__X-TRAIL	"242,300_"	2.07_	5.46_			
___	2.5L	XV	Premium	CVT	_____	4WD	"233,318_"	____	__X-TRAIL	"271,300_"	2.32_	6_			
__	___	1.6XE	MT	"73,788_"	"85,800_"	0.73_	1.82_	____	__						
__	___	1.6XE	CVT	"82,388_"	"95,800_"	0.82_	2.06_	____	__						
__	___	1.6XL	MT	"82,388_"	"95,800_"	0.82_	2.16_	____	__						
__	___	1.6XL	CVT	"90,988_"	"105,800_"	0.90_	2.39_	____	__						
__	_____	"87,548_"	"101,800_"	0.87_	2.30_			____	__						
_____	___	1.6XL	MT	"84,108_"	"97,800_"	0.84_	2.21_	____	__						
_____	___	1.6XL	CVT	"92,708_"	"107,800_"	0.92_	2.43_	____	__						
_____	___	1.6XV	MT	"92,192_"	"107,200_"	0.92_	2.42_	____	__						
_____	___	1.6XV	CVT	"100,792_"	"117,200_"	1.00_	2.64_	____	__						
_____	_____	"96,148_"	"111,800_"	0.96_	2.52_			____	__						
___	1.6L	___	MT______	"87,912_"				____	___						
"99,900_"								____	___						
0.85_								____	___						
2.05_								____	___						
___	1.6L	___	CVT______	"96,712_"				____	___						
"109,900_"								____	___						
0.94_								____	___						
2.26_								____	___						
___	1.6L	___	CVT	"100,232_"				____	___						
"113,900_"								____	___						
0.97_	2.34_							____	___						
___	1.6L	___	CVT	"108,152_"	"122,900_"	1.05_	2.53_	____	___						
___	1.6L	___	CVT	"118,712_"	"134,900_"	1.15_	2.77_	____	___						
__	1.5L	XE	___	CVT	"71,840_"	"89,800_"	0.77_	____	__						
2.56_								____	__						
__	1.5L	XE	___	CVT	"72,800_"	"91,000_"	0.78_	____	__						
2.60_								____	__						
__	1.5L	XV	___	CVT	"90,240_"	"112,800_"	0.96_	____	__	3.22_					
__	1.5L	XE	___	CVT	"75,200_"	"94,000_"	0.80_	____	__	2.68_					
____	1.6XE___(MT)	"79,840_"	"99,800_"	0.85_	2.85_			____	_____						
____	1.6XE___(CVT)	"87,840_"	"109,800_"	0.94_	3.13_			____	_____						
____	1.6XE+_____(MT)	"85,040_"	"106,300_"	0.91_	3.03_			____	_____						
____	1.6XE+_____(CVT)	"93,040_"	"116,300_"	0.99_	3.32_			____	_____						
____	1.6XE+_____(MT)	"86,640_"	"108,300_"	0.93_	3.09_			____	_____						
____	1.6XE+_____(CVT)	"94,640_"	"118,300_"	1.01_	3.38_			____	_____						
__2.0XL	CVT	___	"132,268_"	"153,800_"	1.31_	3.47_		____	___						
__2.0XV	CVT	___	"135,708_"	"157,800_"	1.35_	3.56_		____	___						
__2.0XV	PREM	CVT	___	"145,168_"	"168,800_"	1.44_	3.81_	____	___						
__2.0XV	TOP	CVT	___(_____)	"163,228_"	"189,800_"	1.62_	4.28_	____	___						
__2.5L	XE	___	"205,368_"	"238,800_"	2.04_	5.38_		____	___						
__2.5L	XL	_____	"233,318_"	"271,300_"	2.32_	6.12_		____	___						
__2.5L	XL	PLUS	_____	"244,068_"	"283,800_"	2.43_	6.40_	____	___						
__2.5T	S/C	HEV	4WD	XE	__	_____	"258,258_"	____	___	"300,300_"	2.57_	6.77_			
__2.5T	S/C	HEV	4WD	XL	__	_____	"289,218_"	____	___	"336,300_"	2.87_	7.58_			
__2.5T	S/C	HEV	4WD	XV	__	_____	"323,188_"	____	___	"375,800_"	3.21_	8.47_			
___	1.6L	___	CVT	"123,754_"	"143,900_"	1.23_	3.24_	____	____						
___	1.6L	___	CVT	"113,434_"	"131,900_"	1.13_	2.97_	____	____						
___	1.6L	___	CVT	"106,554_"	"123,900_"	1.06_	2.79_	____	____						
___	1.6L	___	MT	"97,954_"	"113,900_"	0.97_	2.57_	____	____						
___	1.6L	___	MT	"91,074_"	"105,900_"	0.91_	2.39_	____	____						
__	2.5L	XL	___	"199,840_"	"249,800_"	_2.14_	_7.13_	____	__						
__1.5L	XE	___	"87,824_"	"99,800_"	0.85_	2.05_		____	__						
__1.5L	XL	___						____	__						
"108,064_"	"122,800_"	1.05_	2.52_					____	__						
__1.5L	XV	_____(______)	"116,424_"	"132,300_"	1.13_	2.72_		____	__						
__1.5L	XV	TOP_____(______)	"120,824_"	"137,300_"	1.17_	2.82_		____	__						
2.5L	XE	MT___	"161,310_"	"169,800_"	1.45_	2.30_		____	__ 2018_						
2.5L	XL	MT___	"180,310_"	"189,800_"	1.62_	2.57_		____	__ 2018_						
2.5L	XL	Upper	___	"189,810_"	"199,800_"	1.71_	2.71_	____	__ 2018_						
2.5L	XL	XV	___	"208,810_"	"219,800_"	1.88_	2.98_	____	__ 2018_						
2.5L	XL	Upper	4WD	___	"214,510_"	"225,800_"	1.93_	____	__ 2018_	3.06_					
2.5L	XV	4WD	___	"233,510_"	"245,800_"	2.10_	3.33_	____	__ 2018_						
___1.6L_____	"81,600_"	"119,900_"	1.02__	4.85__				____	___.__						
___1.6L_____	"89,900_"	"128,900_"	1.10__	5.00__				____	___.__						
___1.6L_______	"97,200_"	"136,900_"	1.17__	5.14__				____	___.__						
___1.6L_______	"101,800_"	"141,900_"	1.21__	5.22__				____	___.__						
___1.6L_____	"96,900_"	"119,900_"	1.02__	3.32__				____	___.__						
___1.6L_____	"105,200_"	"129,900_"	1.11__	3.58__				____	___.__						
___1.6L_____	"111,700_"	"136,900_"	1.17__	3.69__				____	___.__						
___1.6L_____	"120,900_"	"146,900_"	1.26__	3.86__				____	___.__						
___TSI230_1.2T________	"116,800_"	"139,900_"	1.20__	3.51__				____	___.__						
___TSI230_1.2T________	"125,700_"	"149,900_"	1.28__	3.70__				____	___.__						
___TSI230_1.2T________	"132,800_"	"159,900_"	1.37__	4.08__				____	___.__						
___TSI280_1.4T________	"132,800_"	"159,900_"	1.37__	4.08__				____	___.__						
___TSI280_1.4T________	"142,000_"	"169,900_"	1.45__	4.24__				____	___.__						
_____1.6L_____	"108,900_"	"124,900_"	1.07__	2.67__				____	___.__						
_____1.6L_____	"124,500_"	"141,900_"	1.21__	2.95__				____	___.__						
_____1.6L_____	"124,500_"	"141,900_"	1.21__	2.95__				____	___.__						
_____1.6L_____	"133,700_"	"151,900_"	1.30__	3.12__				____	___.__						
_____TSI230_1.2T________	"128,400_"	"144,900_"	1.24__	2.89__				____	___.__						
_____TSI230_1.2T________	"137,600_"	"154,900_"	1.32__	3.05__				____	___.__						
_____TSI280_1.4T________	"145,600_"	"164,900_"	1.41__	3.34__				____	___.__						
_____TSI280_1.4T________	"154,800_"	"174,900_"	1.49__	3.50__				____	___.__						
1.4T_____	"163,600_"	"189,900_"	_1.62__	_4.25__				____	____						
1.4T_____	"182,000_"	"211,900_"	_1.81__	_4.80__				____	____						
1.8T_____	"190,200_"	"222,900_"	_1.91__	_5.18__				____	____						
1.8T_____	"209,700_"	"243,900_"	_2.08__	_5.50__				____	____						
2.0T_____	"222,600_"	"257,900_"	_2.20__	_5.73__				____	____						
3.0L_____	"265,200_"	"303,900_"	_2.60__	_6.47__				____	____						
1.6L	_____	"109,400_"	"121,900_"	_1.04_	_2.29_			____	__						
1.6L	_____	"123,400_"	"136,900_"	_1.17_	_2.52_			____	__						
1.2T	_____	"126,200_"	"139,900_"	_1.20_	_2.57_			____	__						
1.4T	_____	"129,800_"	"149,900_"	_1.26_	_2.97_			____	__						
1.4T	_____	"141,900_"	"159,900_"	_1.37_	_3.17_			____	__						
280TSI_1.4T)	_____	7_	"138,400_"	"155,800_"	_1.33__	_3.07__		____	__						
280TSI_1.4T)	_____	7_	"151,400_"	"169,800_"	_1.45__	_3.29__		____	__						
280TSI_1.4T)	___	7_	"163,500_"	"181,800_"	_1.55__	_3.38__		____	__						
280TSI_1.4T)	___	6_	"163,500_"	"181,800_"	_1.55__	_3.38__		____	__						
280TSI_1.4T)	_____	7_	"180,200_"	"199,800_"	_1.71__	_3.67__		____	__						
280TSI_1.4T)	_____	6_	"180,200_"	"199,800_"	_1.71__	_3.67__		____	__						
1.4L	_____	1.4L	AQ160	trendline	"77,100_"	"87,900_"	_0.75_	____	POLO	_1.83_					
1.4L	MQ200	Cross	Entry	"72,900_"	"84,900_"	_0.73_	_1.93_	____	POLO						
1.4L	AQ160	Cross	Entry	"84,100_"	"96,900_"	_0.83_	_2.11_	____	POLO						
1.6L	_____	1.6L	AQ160	Comfortline	"92,000_"	"103,900_"	_0.89_	____	POLO	_2.08_					
1.6L	_____	1.6L	AQ160	Highline	"103,200_"	"115,900_"	_0.99_	____	POLO	_2.26_					
1.6L	AQ160	Cross	"103,600_"	"117,900_"	_1.01_	_2.44_		____	POLO						
1.4T	DQ200	GTI	"123,100_"	"146,900_"	_1.26_	_3.64_		____	POLO						
1.4L	_____	"73,700_"						____	___.__						
"79,900_"								____	___.__						
0.68__	1.30__							____	___.__						
1.4L	_____	"66,000_"	"69,600_"	0.59__	0.95__			____	___.__						
1.4L	_____	"81,600_"	"89,900_"	0.77__	1.60__			____	___.__						
1.4L	_____	"74,400_"	"79,600_"	0.68__	1.20__			____	___.__						
1.6L	_____	"83,700_"	"94,900_"	0.81__	1.93__			____	___.__						
1.6L	_____	"87,400_"	"99,900_"	0.85__	2.10__			____	___.__						
1.6L	_____	"93,800_"	"109,900_"	0.94__	2.55__			____	___.__						
____L	280TSI	______1.4T____	"208,400_"	"226,800_"	1.94__	3.78__		____	__						
____L	330TSI	______2.0T____	"205,600_"	"223,800_"	1.91__	3.73__		____	__						
____L	330TSI	______2.0T____	"227,000_"	"246,800_"	2.11__	4.09__		____	__						
____L	330TSI	______2.0T____	"239,100_"	"259,800_"	2.22__	4.29__		____	__						
____L	330TSI	______2.0T____	"254,900_"	"276,800_"	2.37__	4.56__		____	__						
____L	380TSI	______2.0T____	"267,000_"	"289,800_"	2.48__	4.76__		____	__						
____L	380TSI	______2.0T____	"295,000_"	"319,800_"	2.73__	5.21__		____	__						
____L	380TSI	________2.0T____	"331,200_"	"359,800_"	3.08__	5.94__		____	__						
1.4T	_____	"138,500_"	"169,800_"	1.45__	4.58__			____	___.__						
1.4T	_____	"144,800_"	"179,800_"	1.54__	5.04__			____	___.__						
1.4T	_____	"154,000_"	"189,800_"	1.62__	5.20__			____	___.__						
1.8T	_____	"163,700_"	"199,800_"	1.71__	5.32__			____	___.__						
1.8T	_____	"180,300_"	"217,800_"	1.86__	5.61__			____	___.__						
2.0T	_____	"209,900_"	"249,800_"	2.14__	6.13__			____	___.__						
1.4T	_____	"117,300_"	"145,900_"	1.25_	4.11_			____	__						
1.4T	_____	"130,300_"	"159,900_"	1.37_	4.33_			____	__						
1.4T	_____(__)	"138,300_"	"170,900_"	1.46_	4.72_			____	__						
1.4T	_____	"151,300_"	"184,900_"	1.58_	4.94_			____	__						
1.4T	_____	"167,100_"	"201,900_"	1.73_	5.21_			____	__						
1.8T	_____(__)	"180,100_"	"215,900_"	1.85_	5.43_			____	__						
2.0T	GTS(__)	"184,800_"	"228,900_"	1.96_	6.37_			____	__						
1.6L	_____	"110,500_"	"124,900_"	1598ml	6_____	81kw/5800rpm		____	__						
1.6L	_____	"124,500_"	"139,900_"	1598ml	6_____	81kw/5800rpm		____	__						
1.2T	_____	"127,300_"	"142,900_"	1598ml	6_____	81kw/5800rpm		____	__						
1.4T	_____	"130,800_"	"149,900_"	1395ml	7_DSG	96kw/5000rpm		____	__						
1.4T	_____	"143,000_"	"162,900_"	1395ml	7_DSG	96kw/5000rpm		____	__						
__380TSI___	"265,300_"	"349,000_"	2.98_	11.35_				____	__						
__380TSI___	"320,800_"	"409,000_"	3.50_	12.32_				____	__						
__380TSI___	"348,600_"	"439,000_"	3.75_	12.79_				____	__						
__380TSI_____	"404,100_"	"499,000_"	4.26_	13.75_				____	__						
__480V6___	"431,800_"	"529,000_"	4.52_	14.24_				____	__						
__480V6___	"459,600_"	"559,000_"	4.78_	14.72_				____	__						
__480V6_____	"552,100_"	"659,000_"	5.63_	16.32_				____	__						
____2.0T	BZ__________	"177,000_"	"189,800_"	_1.62_	_2.90_			____	___.____						
____2.0T	BZ__________	"195,600_"	"209,800_"	_1.79_	_3.21_			____	___.____						
____2.0T	BZ__________	"204,900_"	"219,800_"	_1.88_	_3.37_			____	___.____						
____2.0T	BZ__7_________	"214,100_"	"229,800_"	_1.96_	_3.53_			____	___.____						
____2.0T	BZ__7______	"232,700_"	"249,800_"	_2.14_	_3.85_			____	___.____						
____2.0T	BZ__7______	"251,200_"	"269,800_"	_2.31_	_4.17_			____	___.____						
__	330TSI	________2.0T_	"281,200_"	"308,900_"	2.64_	5.41_		____	__						
__	380TSI	________2.0T_	"299,700_"	"328,900_"	2.81_	5.73_		____	__						
__	330TSI	________2.0T_	"309,000_"	"338,900_"	2.90_	5.89_		____	__						
__	380TSI	________2.0T_	"336,700_"	"368,900_"	3.15_	6.37_		____	__						
__	330TSI	________2.0T_	"364,500_"	"398,900_"	3.41_	6.85_		____	__						
__	380TSI	________2.0T_	"392,200_"	"428,900_"	3.67_	7.34_		____	__						
2018_	___	TSI280	(1.4T)___	"143,000_"	"156,900_"	_1.34_	_2.73_	____	___.___						
2018_	___	TSI280	(1.4T)___	"154,500_"	"169,900_"	_1.45_	_2.99_	____	___.___						
2018_	___	TSI280	(1.4T)___	"168,200_"	"185,900_"	_1.59_	_3.36_	____	___.___						
____XTS	28T	___	"245,918_"	"299,900_"	_2.56_	_7.96_		____	____XTS						
____XTS	28T	___	"262,318_"	"319,900_"	_2.73_	_8.49_		____	____XTS						
____XTS	28T	___	"295,118_"	"359,900_"	_3.08_	_9.55_		____	____XTS						
____ATS-L	28T	___	"215,136_"	"298,800_"	_2.55_	_10.92_		____	____ATS-L						
____ATS-L	28T	___	"229,536_"	"318,800_"	_2.72_	_11.65_		____	____ATS-L						
____CT6	28T	___	"329,925_"	"439,900_"	_3.76_	_14.76_		____	____CT6						
____CT6	28T	___	"352,425_"	"469,900_"	_4.02_	_15.76_		____	____CT6						
____CT6	28T	___	"367,425_"	"489,900_"	_4.19_	_16.43_		____	____CT6						
____CT6	28T	___	"412,425_"	"549,900_"	_4.70_	_18.45_		____	____CT6						
____CT6	28T	___	"464,925_"	"619,900_"	_5.30_	_20.80_		____	____CT6						
____CT6	40T	___	"509,925_"	"679,900_"	_5.81_	_22.81_		____	____CT6						
____CT6	40T	___	"614,100_"	"818,800_"	_7.00_	_27.47_		____	____CT6						
____XT5	25T___	"296,917.5_"	"359,900_"	_3.08_	_9.37_			____	XT5						
____XT5	25T___	"321,667.5_"	"389,900_"	_3.33_	_10.16_			____	XT5						
____XT5	28E_____	"313,417.5_"	"379,900_"	_3.25_	_9.90_			____	XT5						
____XT5	28T_____	"346,417.5_"	"419,900_"	_3.59_				____	XT5						
_10.94_								____	XT5						
								____	XT5						
240TURBO	_______	"169,800_"	"169,800_"	1.45_	1.45_			____	CR-V						
240TURBO	_______	"179,800_"	"179,800_"	1.54_	1.54_			____	CR-V						
240TURBO	_______	"192,800_"	192800_	1.65_	1.65_			____	CR-V						
240TURBO	_______	"203,800_"	"203,800_"	1.74_	1.74_			____	CR-V						
240TURBO	_______	"213,800_"	"213,800_"	1.83_	1.83_			____	CR-V						
240TURBO	_______	"231,800_"	"231,800_"	1.98_	1.98_			____	CR-V						
240TURBO	_______	"249,800_"	"249,800_"	2.14_	2.14_			____	CR-V						
_á__	2	___	"219,800_"	"219,800_"	1.88_	1.88_		____	CR-V						
_á__	2	___	"239,800_"	"239,800_"	2.05_	2.05_		____	CR-V						
_á__	2	___	"259,800_"	"259,800_"	2.22_	2.22_		____	CR-V						
___	2.0L	___	"161,910_"	"179,900_"	_1.54_	_3.34_		____	___						
___	2.0L	___	"179,910_"	"199,900_"	_1.71_	_3.71_		____	___						
___	2.4L	__	"206,910_"	"229,900_"	_1.96_	_4.26_		____	___						
___	2.4L	Si	"241,110_"	"267,900_"	_2.29_	_4.97_		____	___						
_á__	2.0L	___	"224,910_"	"249,900_"	_2.14_	_4.63_		____	___						
_á__	2.0L	___	"239,310_"	"267,900_"	_2.27_	_4.93_		____	___						
__	180TURBO	_____	"115,900_"	"115,900_"	0.99_	0.99_		____	__CIVIC						
__	180TURBO	_____	"127,900_"	"127,900_"	1.09_	1.09_		____	__CIVIC						
__	220TURBO	_____	"129,900_"	"129,900_"	1.11_	1.11_		____	__CIVIC						
__	220TURBO	_____	"139,900_"	"139,900_"	1.20_	1.20_		____	__CIVIC						
__	220TURBO	_____	"155,900_"	"155,900_"	1.33_	1.33_		____	__CIVIC						
__	220TURBO	_____	"169,900_"	"169,900_"	1.45_	1.45_		____	__CIVIC						
XR-V	1.5L	___Lxi	__	"120,132_"	"127,800_"	1.09_	1.86_	____	XR-V						
XR-V	1.5L	___Lxi	CVT	"129,532_"	"137,800_"	1.18_	2.00_	____	XR-V						
XR-V	1.8L	___Exi	__	"131,412_"	"139,800_"	1.19_	2.03_	____	XR-V						
XR-V	1.8L	___Exi	CVT	"140,812_"	"149,800_"	1.28_	2.18_	____	XR-V						
XR-V	1.8L	___Vti	CVT	"153,032_"	"162,800_"	1.39_	2.37_	____	XR-V						
__	1.8L	_____	5_	"122,106_"	"129,900_"	_1.11_	_1.89_	____	__						
__	1.8L	_____	5_	"131,506_"	"139,900_"	_1.20_	_2.04_	____	__						
__	1.8L	_____	6_	"140,906_"	"149,900_"	_1.28_	_2.18_	____	__						
__	210TURBO	CVT	___	5_	"146,546_"	"155,900_"	_1.33_	____	__	_2.27_					
__	210TURBO	CVT	___	5_	"155,946_"	"165,900_"	_1.42_	____	__	_2.41_					
__	210TURBO	CVT	___	6_	"169,106_"	"179,900_"	_1.54_	____	__	_2.62_					
___	2.4L	___	"242,306_"	"249,800_"	_2.14_	_2.88_		____	___						
___	2.4L	___	"255,886_"	"263,800_"	_2.25_	_3.05_		____	___						
___	2.4L	___	"267,526_"	"275,800_"	_2.36_	_3.18_		____	___						
___	2.4L	___	"284,016_"	"292,800_"	_2.50_	_3.38_		____	___						
___	2.4L	___	"300,506_"	"309,800_"	_2.65_	_3.58_		____	___						
__	1.8L	___Exi	__	__	"99,900_"	-	-	____	__						
__	1.8L	___Exi	__	"101,108_"	"109,900_"	0.94_	1.82_	____	__						
__	1.8L	___Vti	__	__	"116,900_"	-	-	____	__						
__	1.8L	___Exi	__	__	"99,900_"	-	-	____	__						
__	1.8L	___Exi	__	"101,108_"	"109,900_"	0.94_	1.82_	____	__						
__	1.8L	___Vti	__	__	"116,900_"	-	-	____	__						
UR-V	240TURBO___	"246,800_"	"249,800_"	_2.11_	_2.11_			____	UR-V						
UR-V	240TURBO___	"267,800_"	"267,800_"	_2.29_	_2.29_			____	UR-V						
UR-V	370TURBO___	"279,800_"	"279,800_"	_2.39_	_2.39_			____	UR-V						
UR-V	370TURBO___	"292,800_"	"292,800_"	_2.50_	_2.50_			____	UR-V						
UR-V	370TURBO___	"329,800_"	"329,800_"	_2.82_	_2.82_			____	UR-V						
__	350	1.5MT	___	"85,215_"	"89,700_"	1.5L	__	____	__350	80kw/6000rpm					
__	350	1.5MT	___+inkaNet	"90,915_"	"95,700_"	1.5L	__	____	__350	80kw/6000rpm					
__	350	1.5MT	___	"89,965_"	"94,700_"	1.5L	__	____	__350	80kw/6000rpm					
__	350	1.5MT	___+inkaNet	"95,665_"	"100,700_"	1.5L	__	____	__350	80kw/6000rpm					
__	350	1.5AT	___	"93,765_"	"98,700_"	1.5L	__	____	__350	80kw/6000rpm					
__	350	1.5AT	___+inkaNet	"99,465_"	"104,700_"	1.5L	__	____	__350	80kw/6000rpm					
__	350	1.5MT	___	"100,415_"	"105,700_"	1.5L	__	____	__350	80kw/6000rpm					
__	350	1.5MT	___+inkaNet	"105,165_"	"110,700_"	1.5L	__	____	__350	80kw/6000rpm					
__	350	1.5AT	___	"98,515_"	"103,700_"	1.5L	__	____	__350	80kw/6000rpm					
__	350	1.5AT	___+inkaNet	"104,215_"	"109,700_"	1.5L	__	____	__350	80kw/6000rpm					
__	350	1.5AT	___	"108,965_"	"114,700_"	1.5L	__	____	__350	80kw/6000rpm					
__	350	1.5AT	___+inkaNet	"113,715_"	"119,700_"	1.5L	__	____	__350	80kw/6000rpm					
__	350	1.5AT	___	"118,465_"	"124,700_"	1.5L	__	____	__350	80kw/6000rpm					
__	350	1.5AT	___+inkaNet	"122,265_"	"128,700_"	1.5L	__	____	__350	80kw/6000rpm					
__	550	1.8DVVT	_____	"118,560_"	"124,800_"	1.8DVVT	5MT	____	__550	98kw/6000rpm					
__	550	1.8DVVT	_____	"129,960_"	"136,800_"	1.8DVVT	5_____	____	__550	98kw/6000rpm					
__	550S	1.8DVVT	_____	"121,410_"	"127,800_"	1.8DVVT	5MT	____	__550	98kw/6000rpm					
__	550S	1.8DVVT	_____	"132,810_"	"139,800_"	1.8DVVT	5_____	____	__550	98kw/6000rpm					
__	550S	1.8DVVT	_____	"130,910_"	"137,800_"	1.8DVVT	5_____	____	__550	98kw/6000rpm					
__	550S	1.8DVVT	_____	"142,310_"	"149,800_"	1.8DVVT	5_____	____	__550	98kw/6000rpm					
__	550D	1.8T	_____	"147,060_"	"154,800_"	1.8T____	5MT	____	__550	118kw/6500rpm					
__	550D	1.8T	_____	"158,460_"	"166,800_"	1.8T____	5_____	____	__550	118kw/6500rpm					
__	550G	1.8T	_____	"180,310_"	"189,800_"	1.8T____	5_____	____	__550	118kw/6500rpm					
__	750S___	MT	"154,660_"	"162,800_"	1.8T____	5MT	118kw/5500rpm	____	__750						
__	750S___	AT	"166,060_"	"174,800_"	1.8T____	5AT	118kw/5500rpm	____	__750						
__	750D	NAVI___	MT	"173,660_"	"182,800_"	1.8T____	5MT	____	__750	118kw/5500rpm					
__	750D	NAVI___	AT	"183,160_"	"192,800_"	1.8T____	5AT	____	__750	118kw/5500rpm					
__	750EX	NAVI___	AT	"213,560_"	"224,800_"	1.8T____	5AT	____	__750	118kw/5500rpm					
__	750E	NAVI___	AT	"220,210_"	"231,800_"	2.5V6	5AT	____	__750	135kw/6500rpm					
__	750FL	NAVI___	AT	"245,860_"	"258,800_"	2.5V6	5AT	____	__750	135kw/6500rpm					
MG3	SW	1.4L_____	"75,810_"	79800_	1396ml	5MT	76kw/6000rpm	____	__MG3						
MG3	SW	1.4L_____	"85,310_"	89800_	1396ml	5MT	76kw/6000rpm	____	__MG3						
MG3	SW	1.4L_____	"85,310_"	89800_	1396ml	CVT	76kw/6000rpm	____	__MG3						
MG3	SW	1.4L_____	"95,760_"	100800_	1396ml	CVT	76kw/6000rpm	____	__MG3						
MG3	SW	1.8L_____	"104,310_"	109800_	1796ml	CVT	88kw/5500rpm	____	__MG3						
MG6	1.8T	_____MY14	"131,412_"	"139,800_"	_1.19__	_2.03__		____	__MG6						
MG6	1.8T	_____MY14						____	__MG6						
____+____	"139,778_"	"148,700_"	_1.27__	_1.84__				____	__MG6						
MG6	1.8L	_____MY14	"119,192_"	"126,800_"	_1.08__	_1.97__		____	__MG6						
MG6	1.8T	_____MY14						____	__MG6						
____+____	"127,558_"	"135,700_"	_1.16__	_2.16__				____	__MG6						
MG7	1.8T	MT___	"148,960_"	"156,800_"	1796	5MT	118kw/5500rpm	____	__MG7						
MG7	1.8T	AT___	"160,360_"	"168,800_"	1796	5_____	118kw/5500rpm	____	__MG7						
MG7	1.8T	AT___	"178,410_"	"187,800_"	1796	5_____	118kw/5500rpm	____	__MG7						
MG7	1.8T	AT___	"192,660_"	"202,800_"	1796	5_____	118kw/5500rpm	____	__MG7						
MG7L	1.8T	AT___	"204,060_"	"214,800_"	1796	5_____	118kw/5500rpm	____	__MG7						
MG7L	1.8T	AT___	"232,560_"	"244,800_"	1796	5_____	118kw/5500rpm	____	__MG7						
MG7L	2.5V6	AT___	"252,510_"	"265,800_"	2497	5_____	135kw/6500rpm	____	__MG7						
MG7L	2.5V6	AT___	"274,360_"	"288,800_"	2497	5_____	135kw/6500rpm	____	__MG7						
__	W5	1.8T	2WD	___				____	__ W5						
"163,210_"	"171,800_"	1.8T	5___	118kw/5500rpm				____	__ W5						
__	W5	1.8T	2WD	___				____	__ W5						
"177,460_"	"186,800_"	1.8T	6_____	118kw/5500rpm				____	__ W5						
__	W5	1.8T	2WD	___(__)				____	__ W5						
"181,259.05_"	"190,799_"	1.8T	6_____	118kw/5500rpm				____	__ W5						
__	W5	1.8T	4WD	___				____	__ W5						
"207,860_"	"218,800_"	1.8T	6_____	118kw/5500rpm				____	__ W5						
__	W5	1.8T	4WD	___(18___)				____	__ W5						
"210,899.05_"	"221,999_"	1.8T	6_____	118kw/5500rpm				____	__ W5						
__	W5	3.2L	4WD	___				____	__ W5						
"265,810_"	"279,800_"	3.2L	5_____	162kw/6000rpm				____	__ W5						
__	W5	3.2L	4WD	___(18___)				____	__ W5						
"268,849.05_"	"282,999_"	3.2L	5_____	162kw/6000rpm				____	__ W5						
__	W5	3.2L	4WD	NAVI	___			____	__ W5						
"283,860_"	"298,800_"	3.2L	5_____	162kw/6000rpm				____	__ W5						
__	W5	3.2L	4WD	NAVI	___(18___)			____	__ W5						
"286,899.05_"	"301,999_"	3.2L	5_____	162kw/6000rpm				____	__ W5						
__	1.4T______	"81,918_"	"99,900_"	_0.85_	_2.65_			____	___.__						
__	1.4T______	"98,318_"	"119,900_"	_1.02_	_3.18_			____	___.__						
__	1.4T_____	"109,798_"	"133,900_"	_1.14_	_3.55_			____	___.__						
20T	___	"167,220_"	"185,800_"	_1.59_	_3.45_			____	__.___						
20T	___	"179,820_"	"199,800_"	_1.71_	_3.71_			____	__.___						
20T	___	"197,820_"	"219,800_"	_1.88_	_4.08_			____	__.___						
30H	___	"206,820_"	"229,800_"	_1.96_	_4.26_			____	__.___						
